Team,MP,W,D,L,GF,GA,GD,Pts,League,Season
Bayern Munich,34,24,6,4,99,44,55,78,Bundesliga,2020-2021
RB Leipzig,34,19,8,7,60,32,28,65,Bundesliga,2020-2021
Dortmund,34,20,4,10,75,46,29,64,Bundesliga,2020-2021
Wolfsburg,34,17,10,7,61,37,24,61,Bundesliga,2020-2021
Eint Frankfurt,34,16,12,6,69,53,16,60,Bundesliga,2020-2021
Leverkusen,34,14,10,10,53,39,14,52,Bundesliga,2020-2021
Union Berlin,34,12,14,8,50,43,7,50,Bundesliga,2020-2021
Gladbach,34,13,10,11,64,56,8,49,Bundesliga,2020-2021
Stuttgart,34,12,9,13,56,55,1,45,Bundesliga,2020-2021
Freiburg,34,12,9,13,52,52,0,45,Bundesliga,2020-2021
Hoffenheim,34,11,10,13,52,54,-2,43,Bundesliga,2020-2021
Mainz 05,34,10,9,15,39,56,-17,39,Bundesliga,2020-2021
Augsburg,34,10,6,18,36,54,-18,36,Bundesliga,2020-2021
Hertha BSC,34,8,11,15,41,52,-11,35,Bundesliga,2020-2021
Arminia,34,9,8,17,26,52,-26,35,Bundesliga,2020-2021
K̦ln,34,8,9,17,34,60,-26,33,Bundesliga,2020-2021
Werder Bremen,34,7,10,17,36,57,-21,31,Bundesliga,2020-2021
Schalke 04,34,3,7,24,25,86,-61,16,Bundesliga,2020-2021
